segment_file,video_id,segment_index,start_sec,end_sec,speaker,party,constituency,native_city,native_county,native_province,clip_name,clip_type,extra_info,valid_times,dataset,segment_file_resolved
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_001.wav,Zjw54vT2uUs,1,350,380,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_001.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_002.wav,Zjw54vT2uUs,2,380,410,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_002.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_003.wav,Zjw54vT2uUs,3,410,440,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_003.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_004.wav,Zjw54vT2uUs,4,440,470,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_004.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_005.wav,Zjw54vT2uUs,5,470,500,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_005.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_006.wav,Zjw54vT2uUs,6,500,530,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_006.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_007.wav,Zjw54vT2uUs,7,530,560,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_007.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_008.wav,Zjw54vT2uUs,8,560,590,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_008.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_009.wav,Zjw54vT2uUs,9,590,620,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_009.wav
/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_010.wav,Zjw54vT2uUs,10,620,650,Gavin Robinson,Democratic Unionist Party,Belfast East,Belfast City,Antrim,Ulster,Gavin Robinson addresses 2025 DUP Party Conference,party conference,,5.50-18.00,NI,/Users/cianan/Documents/College/GitHub/FYP/Data/NorthernIreland/ni_segments/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_010.wav
