segment_file,video_id,segment_index,start_sec,end_sec,speaker,party,constituency,native_city,native_county,native_province,clip_name,clip_type,extra_info,valid_times,dataset,segment_file_resolved,latitude,longitude
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_VgURXYpsYqw_001.wav,VgURXYpsYqw,1,18,48,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood makes history as Alliance Party wins in Lagan Valley,acceptance speech,,0.18-1.30,NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_VgURXYpsYqw_001.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_VgURXYpsYqw_002.wav,VgURXYpsYqw,2,48,78,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood makes history as Alliance Party wins in Lagan Valley,acceptance speech,,0.18-1.30,NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_VgURXYpsYqw_002.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_VgURXYpsYqw_003.wav,VgURXYpsYqw,3,78,90,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood makes history as Alliance Party wins in Lagan Valley,acceptance speech,,0.18-1.30,NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_VgURXYpsYqw_003.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_MNH2JybK5qI_001.wav,MNH2JybK5qI,1,0,30,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,MP targeted by Tate brothers after 'daring to speak my mind',parliament,,0.00-1.10,NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_MNH2JybK5qI_001.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_MNH2JybK5qI_002.wav,MNH2JybK5qI,2,30,60,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,MP targeted by Tate brothers after 'daring to speak my mind',parliament,,0.00-1.10,NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_MNH2JybK5qI_002.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_MNH2JybK5qI_003.wav,MNH2JybK5qI,3,60,70,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,MP targeted by Tate brothers after 'daring to speak my mind',parliament,,0.00-1.10,NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_MNH2JybK5qI_003.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_001.wav,aZkrjRLLrSs,1,58,87,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood Destroys DUP Leader Over Brexit Boycott Of NI Executive!,debate,,"0.58-1.27,1.43- 2.18, 2.25-2.37",NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_001.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_002.wav,aZkrjRLLrSs,2,103,133,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood Destroys DUP Leader Over Brexit Boycott Of NI Executive!,debate,,"0.58-1.27,1.43- 2.18, 2.25-2.37",NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_002.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_003.wav,aZkrjRLLrSs,3,133,138,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood Destroys DUP Leader Over Brexit Boycott Of NI Executive!,debate,,"0.58-1.27,1.43- 2.18, 2.25-2.37",NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_003.wav,,
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_004.wav,aZkrjRLLrSs,4,145,157,Sorcha Eastwood,Alliance,Lagan Valley,Listburn,Antrim,Ulster,Sorcha Eastwood Destroys DUP Leader Over Brexit Boycott Of NI Executive!,debate,,"0.58-1.27,1.43- 2.18, 2.25-2.37",NI,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/NorthernIreland/ni_segments/Sorcha_Eastwood_Alliance_Lagan_Valley_aZkrjRLLrSs_004.wav,,
