segment_file,video_id,segment_index,start_sec,end_sec,speaker,party,constituency,native_city,native_county,native_province,clip_name,clip_type,extra_info,valid_times,dataset,segment_file_resolved,latitude,longitude
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/Z8bIwoWacCE_Deputy Marcella Corcoran Kennedy - Topical Issues .wav,Z8bIwoWacCE,1,30,60,marcella corcoran kennedy,Fine Gael,Offaly,London,England,Other,Z8bIwoWacCE_Deputy Marcella Corcoran Kennedy - Topical Issues .wav,parliament,,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/Z8bIwoWacCE_Deputy Marcella Corcoran Kennedy - Topical Issues .wav,51.5189784,-0.1375768
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/MBJSfhwY2Qg_Deputy Marcella Corcoran Kennedy - Government Busi.wav,MBJSfhwY2Qg,1,30,60,marcella corcoran kennedy,Fine Gael,Offaly,London,England,Other,MBJSfhwY2Qg_Deputy Marcella Corcoran Kennedy - Government Busi.wav,parliament,,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/MBJSfhwY2Qg_Deputy Marcella Corcoran Kennedy - Government Busi.wav,51.5189784,-0.1375768
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/lL97jzS0OhE_Senator Pádraig MacLochlainn - speech from 21 May .wav,lL97jzS0OhE,1,30,60,padraig maclochlainn,Sinn Fein,Donegal,Leeds,England,Other,lL97jzS0OhE_Senator P√°draig MacLochlainn - speech from 21 May .wav,parliament,"Traveller Mother, Born in UK",0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/lL97jzS0OhE_Senator Pádraig MacLochlainn - speech from 21 May .wav,53.8445643,-1.6059009
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/DMbwlPAxES0_Senator Pádraig MacLochlainn - speech from 26 Jun .wav,DMbwlPAxES0,1,30,60,padraig maclochlainn,Sinn Fein,Donegal,Leeds,England,Other,DMbwlPAxES0_Senator P√°draig MacLochlainn - speech from 26 Jun .wav,parliament,"Traveller Mother, Born in UK",0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/DMbwlPAxES0_Senator Pádraig MacLochlainn - speech from 26 Jun .wav,53.8445643,-1.6059009
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/FoREvrYZUWM_Senator Pádraig MacLochlainn - speech from 13 Jun .wav,FoREvrYZUWM,1,30,60,padraig maclochlainn,Sinn Fein,Donegal,Leeds,England,Other,FoREvrYZUWM_Senator P√°draig MacLochlainn - speech from 13 Jun .wav,parliament,"Traveller Mother, Born in UK",0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/FoREvrYZUWM_Senator Pádraig MacLochlainn - speech from 13 Jun .wav,53.8445643,-1.6059009
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/y7eg2mfZxDU_Senator Pádraig MacLochlainn - speech from 25 Sep .wav,y7eg2mfZxDU,1,30,60,padraig maclochlainn,Sinn Fein,Donegal,Leeds,England,Other,y7eg2mfZxDU_Senator P√°draig MacLochlainn - speech from 25 Sep .wav,parliament,"Traveller Mother, Born in UK",0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/y7eg2mfZxDU_Senator Pádraig MacLochlainn - speech from 25 Sep .wav,53.8445643,-1.6059009
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/8RDnaigsMq4_Senator Pádraig MacLochlainn - speech from 29 May .wav,8RDnaigsMq4,1,30,60,padraig maclochlainn,Sinn Fein,Donegal,Leeds,England,Other,8RDnaigsMq4_Senator P√°draig MacLochlainn - speech from 29 May .wav,parliament,"Traveller Mother, Born in UK",0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/8RDnaigsMq4_Senator Pádraig MacLochlainn - speech from 29 May .wav,53.8445643,-1.6059009
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/AXzPOuysF9I_Pádraig MacLochlainn - speech from  18 Apr 2019.wav,AXzPOuysF9I,1,30,60,padraig maclochlainn,Sinn Fein,Donegal,Leeds,England,Other,AXzPOuysF9I_P√°draig MacLochlainn - speech from  18 Apr 2019.wav,parliament,"Traveller Mother, Born in UK",0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/AXzPOuysF9I_Pádraig MacLochlainn - speech from  18 Apr 2019.wav,53.8445643,-1.6059009
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/rdhSAQK1xHQ_Deputy Pearse Doherty - Private Members’ Business .wav,rdhSAQK1xHQ,1,30,60,pearse doherty,Sinn Fein,Donegal,Glasgow,Scotland,Other,rdhSAQK1xHQ_Deputy Pearse Doherty - Private Members‚Äô Business .wav,parliament,Became Gaeilgeoir,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/rdhSAQK1xHQ_Deputy Pearse Doherty - Private Members’ Business .wav,55.7884397,-4.2758891
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/1IEiM0xKtw0_Deputy Pearse Doherty - Leaders’ Questions - 19 Se.wav,1IEiM0xKtw0,1,30,60,pearse doherty,Sinn Fein,Donegal,Glasgow,Scotland,Other,1IEiM0xKtw0_Deputy Pearse Doherty - Leaders‚Äô Questions - 19 Se.wav,parliament,Became Gaeilgeoir,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/1IEiM0xKtw0_Deputy Pearse Doherty - Leaders’ Questions - 19 Se.wav,55.7884397,-4.2758891
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/yiGodyguAXk_Deputy Pearse Doherty - Private Members’ Business .wav,yiGodyguAXk,1,30,60,pearse doherty,Sinn Fein,Donegal,Glasgow,Scotland,Other,yiGodyguAXk_Deputy Pearse Doherty - Private Members‚Äô Business .wav,parliament,Became Gaeilgeoir,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/yiGodyguAXk_Deputy Pearse Doherty - Private Members’ Business .wav,55.7884397,-4.2758891
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/cawFWKEYE3k_Deputy Pearse Doherty - Priority Questions - 17.04.wav,cawFWKEYE3k,1,30,60,pearse doherty,Sinn Fein,Donegal,Glasgow,Scotland,Other,cawFWKEYE3k_Deputy Pearse Doherty - Priority Questions - 17.04.wav,parliament,Became Gaeilgeoir,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/cawFWKEYE3k_Deputy Pearse Doherty - Priority Questions - 17.04.wav,55.7884397,-4.2758891
/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/F4rroUfsaMk_Deputy Pearse Doherty - Government Business - 05.0.wav,F4rroUfsaMk,1,30,60,pearse doherty,Sinn Fein,Donegal,Glasgow,Scotland,Other,F4rroUfsaMk_Deputy Pearse Doherty - Government Business - 05.0.wav,parliament,Became Gaeilgeoir,0.30-1.00,DAIL,/Users/cianan/Documents/College/GitHub/FYP/Prototype2/DailData/roi_audio_processed/F4rroUfsaMk_Deputy Pearse Doherty - Government Business - 05.0.wav,55.7884397,-4.2758891
