filepath,speaker,label,dataset
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_001__5c2cc5ceda.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_002__10c12d8176.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_003__97e160177d.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_004__963f796307.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_005__86f3ad3991.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_006__3a130cd8d5.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_007__85fc491434.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_008__b54f2a1bdd.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_009__7b4cad0aac.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_010__aef8e0ef27.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_011__c490af7aaa.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_012__834f0dfa1b.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_013__008fee6405.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_014__c43e021bd0.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_015__0ae371084d.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_016__0f91f70372.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_017__dc850b1d38.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_018__d492111339.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_019__e66ce5a7ba.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_020__c674c720a6.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_021__36b3fc1a67.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_022__bc0b709ebd.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_023__2687024302.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_024__0dfdeb74b5.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_Zjw54vT2uUs_025__d8b429e123.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_rqGxoQM0xZw_001__ec85b8f574.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_rqGxoQM0xZw_002__7f33731ded.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_rqGxoQM0xZw_003__a33f6d86dc.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_eL4ZXzGW1gA_001__f17fbbff1a.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_eL4ZXzGW1gA_002__c5e738a59a.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_7W4XMjpgbyU_001__d44e08bb92.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_7W4XMjpgbyU_002__99435b217b.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_7W4XMjpgbyU_003__f9bd35013a.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_7W4XMjpgbyU_004__85d63632ef.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gavin_Robinson_Democratic_Unionist_Party_Belfast_East_7W4XMjpgbyU_005__bceebbcb28.wav,Gavin Robinson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_001__3fa8b0d96c.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_002__158412a378.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_003__7efd58727e.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_004__97fdadb2b7.wav,John Finucane,Ulster,NI
